,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre
1,,,4.5,4,,2.5,6,,,16.5,,
2,,,,1,,1,,3,,14,3.5,
3,,,,7,,,,,,1.5,,
4,,,,1.5,,,,0.3,,,,
5,,,,3,,,,,,4,,
6,,,,1.5,,,,,,2,,
7,,,,,,,,,23,4.5,,5.5
8,1,2,,2,,,,,7.5,2,,
9,,,,,,48,,,0.5,,,
10,9.5,,,,,57,2.5,,6,4.5,15.5,10
11,7,,,4.5,2.5,,,,5.5,1,,3.5
12,11,,,3,,7,,1.5,11.5,7,,4.5
13,3,,,,,,2.25,,15,,,9
14,,,,,,11,,,15.5,34,,
15,,,,,6.5,,,,12,,,8
16,,,,,,,,,3.5,1.5,,7
17,6,,,,,,,,,2,,
18,,,,,,,2.5,,,,,
19,,,,,,,2.5,,,,1,
20,,,,,,,,,7,,,1
21,,,,,,,,,,3.5,,7.5
22,,,1.5,,,,0.5,,3,,,2.5
23,1,,,5,,,,6,,,,5.5
24,,,,0.5,,,,,,,,6
25,,,,5,17,,,,,,,10
26,,,,1,2.5,,,,11,,,5.5
27,,7.5,,0.5,,,,,7.5,,,
28,,,,,,,,,5.5,,,
29,,,1,,,,,,,,,
30,,,,,,,5.75,,16.5,,5,17
31,,,7,,,,,,,,,1.5
1,,,,5.5,,1,,,2,,,
2,,8,2,3.5,,7.5,,0.75,,,,
3,9,6.5,,12,,,1,,,,,2.5
4,3,,,5,,4.5,,,,,4.5,
5,3,,2,1.5,,,,,,,7,5
6,4,8,,4.5,,,3.5,,18.5,,5.5,2
7,,,,7,8,,,,,,2,3
8,3,,,,,,,,5,,,
9,12,6.5,,10,,,,16,,,4,9
10,1,,,9.5,,,,,,,,7
11,,11.5,,,11,,,,,,2,
12,3.5,2,,,,,,,1,,3,
13,,,,8.5,,,,,10.5,,,
14,,,,,3,,,,1.5,,7.5,
15,3.5,3.5,2.5,3,,,,,23,,,
16,5.5,,,7,7.5,,,,5,,,
17,,,,,24.5,,4,,4.5,,,
18,,21,,,,,3,,,,6,9
19,7,2,4,,,,,,11,8,,
20,,7.5,,,10.5,,,,1.5,,,8
21,,,6.5,,11,,,,9.5,,,3.5
22,,1,,,5.5,,,,3.25,7,,
23,,,,,,,,,,1.5,,
24,,6,,6,7,,,,6,7.5,,
25,,,,,,,,10,5.5,,,
26,4.5,,,,3.5,,,,,,,
27,,6.5,,,,,,2,,0.5,,2
28,,,,,14.5,,2,1,,,,
29,,,,,2,,,,,2.5,,20
30,,,,,,,,,,,,4.5
31,,,6.5,,,,1.5,14,,9.5,,
1,8,8.5,1,,,,7,,,,,2.5
2,,3,8,,,1.75,12,,,,,6
3,,5,2.5,,,,12,,,9,,4.5
4,,,5,,,3,,,,5,,7
5,,,1.5,,,,,3,,,,
6,9,,7,,,,,4,5.75,,,
7,,,4.5,,,,,1,11.5,,,
8,,2,4.5,,,,,,,,,
9,,,,,,,,,,,,
10,,2,,,,,2.5,,9,,,
11,,3.5,,,,,,,8,,21,
12,,2,,,36,,,,5.5,,,
13,,7.5,,,,,,,,,,
14,,1,,,,,,,7,,,
15,,3,,,,,,,11,,5,
16,,,4.5,,11,,,,36.5,,,10
17,19,3.5,,,,,,,,,5.5,
18,,1,10,5,3.5,3.5,,,17,,,
19,19,,1,,,,,,,,,8.5
20,,,,4,,,,,,,,1.5
21,7,5,,20.5,,,,,,,,5.5
22,12.5,,,,,,,,,,,2
23,3,8,,,,,,,,,,
24,,2,,,,,,,4,,,
25,7,7,,2.5,,,5.5,,,1.5,8.5,3
26,15.5,8,,1.5,,,,,,0.5,6.5,
27,4.5,,,,,,9,,,,2.5,
28,,,,,,,1,,3.5,,,
29,6.5,,6.5,10,9.5,,,,,,4,
30,1,,,,7.5,,,,,,,
31,,,,,,,,,,,,15
1,,,,,4,,,,,5,,7.5
2,,,,,2.5,,,,,7.5,,
3,,,,,,,5,,,,,7.5
4,,,,,,,,,,,13,
5,,,,,,,,,,3.5,,
6,,13,,,,,15,,,,,
7,,8,,,9,,,,,5.5,1,
8,,6,3,,,9,,,,,,2
9,5.5,,,,,,,5,1,2.5,,
10,,,,4,,,,5.5,,,4,
11,,5.5,,,,,,1,,,,
12,8.5,3.5,,,,,,,0.5,,,
13,,,,6.5,,,,,,,2.5,
14,,,,,,,,,,5.5,,
15,,,,2,,,,,,,,
16,,,,,5.5,,,,,,,
17,,,,1.5,1.5,,,,,,,10
18,,,5,2,11,,,,,,4.5,
19,,10.5,,,3.5,,,,4,,14,8
20,,,,,,3,,2,,,9,2.5
21,,,,,2,,,,,,5,
22,3.5,3.5,5.5,3,2,,,6,,,,4
23,11,,,3.5,,,,17.5,,,7,
24,,7.5,,1,,,,5,,,7.5,2.5
25,,11,,,6,,,,2.5,,5,
26,,,10.5,,,,,,6,,,
27,,,7,,,,,,5.5,,16,
28,,,,,,,,,,,2,
29,,,,,,,,5,,4.5,,
30,,,,,,,,,29,,,
31,,,,,,,3,,,,,
1,,,1,,,,2,,,,,1.5
2,,,,,,,11,,,,,9
3,,1,2.5,,,0.25,2.5,,,,,10.5
4,,,,,1,,,,,,3,
5,,1.5,,,11.5,10,,0.5,2,,,3.5
6,,,2,,2,,,5,,,2,
7,,,,,3.5,2.5,,,,3,,
8,,,,,2,3.5,,,,,4.5,3.5
9,,,,,,,,,,8.5,7.5,1
10,,5,,,6,,,,,,,
11,,,,,3.5,9.5,,3,,3,1,
12,,1,,,0.5,,,,,4,3.5,
13,,2.5,,,1,3.5,,,1.5,4.5,,1
14,,20.5,,,,3,,,,,,
15,,,,,,,,,,7,,
16,,,,,6,1.5,,5,,,,
17,,,,,3.5,,,,,,,
18,5,3.5,1.5,,,,,,,,,5
19,,,,,2,2.5,,,,,2,
20,8,1.5,,,1.5,,,,,20,4.5,
21,,,,,3.5,11,,,,1.5,,
22,3,,,,,,,,,,,
23,,,,,,2,,,,,,14
24,,,3.5,,,,,,,,2,6
25,,,,5,,5,5,8,,,,3.5
26,,5.5,,3,,21.5,,,,,,
27,,,0.5,,,23.5,,1.5,,,14,10
28,,,,0.5,,7.5,,,,,,1
29,,,,,,,,1,,,5.5,
30,,,,,,6,,3,,,9.5,4.5
31,,,,,,,,,,,,5
1,,,,,1.5,1.5,,,,14.5,,
2,12,,,9,,0.5,,,14.5,,,
3,4.5,,,7.5,,,5,,8.5,6.5,5,
4,8,,5.5,5.5,,,,,12.5,,5,
5,12,,,3,,,,,4,,3,5
6,3.5,,,1,,,,,,,,5.5
7,5,0.5,,1.5,,1.5,,,1.5,12.5,,
8,4,,,8.5,,,,,,4.5,,10
9,,,10,,,7,,,7,,,7.5
10,,,,3,,10,,,,,3,
11,,,,11,,,1.5,,15,3.5,,
12,,,,18.5,,,,,,,4,
13,10,,4.5,2.75,2.5,12,3.5,,2,9.5,11,
14,1,,,,,20,,,8,,5.5,3.5
15,1,,,7,,,,,2,7,9.5,
16,4.5,,,6,,,0.5,,,,1.5,
17,,,,17.5,,,,,,9.5,,
18,8.5,,,7,,,,,,3,,
19,8,,,6,,,,,,3.5,,
20,3,,,1,,,,,,,,26
21,,4.5,,,,,7,,,,,
22,,,,,,,,,,,,
23,,4,,,,,,1,,12.5,,9
24,,,,1,,,,,,23.5,,
25,4,,2,,,7,,,13,,,
26,,,,19.5,3.5,,,,7,,8,6.5
27,,,4.5,6.5,,5,,,4,,,15.5
28,,2,6.5,2.5,2.5,,8.5,,,1.5,,3.5
29,,,,11,,,,,,7.5,20,
30,,,1,,,,,,7.5,,0.5,
31,,,,,4,,,,,8,,2
1,,,,,1,,,,,,,
2,7,,,,,2.5,,7.5,,4,2.5,
3,,,,9.5,,5,,1.5,,,,
4,,,10.5,,,4,,16.5,,,,9
5,,,7.5,,,7,13.5,,,,,2.5
6,,,3.5,,,1.5,,,,,8,
7,21,5,14,,7.5,3,,,,,,
8,,13.5,9.5,,,,,9,,,2.5,
9,,15.5,2,,,,,20,,,5,3
10,3,6,,,,2,,1.5,,2,,
11,,,,,3,,,,,,2.5,17
12,,,,3,,,,,,,,19
13,8,,1.5,5,,,,,,,,3.5
14,,,,26.5,,,,3.75,7.5,,,7
15,,2.5,,9.5,,,,,,4,,6.5
16,9,,,2.5,,8.5,,,0.5,,,3
17,,1,,14,12,,,3,,,19,
18,,,,,15,,,11.5,13,,21.5,7
19,,,,,3,,,1,27,,,5.5
20,5.5,7,,14,,,,,2,,,
21,3,,2.5,6,0.5,3,,,,5,,7.5
22,4,3.5,,,,,,,3,14,8.5,
23,,2,,7,,,,,18,12,7.5,7.5
24,,3.5,,,,,,2,,9.5,,6.5
25,,,,6,,,,,9,3.5,,9
26,8.5,,5,,,1.5,,1.5,,3,,12.5
27,,1.5,,3,,5.5,,,11.5,,3.5,25.5
28,,,5,,,,,,,,,19
29,5.5,,,,,3,,,3,,,6.5
30,,,,,,,,,3.5,7,,
31,,,,,,,,,,,,5
1,,,3.5,,,,1.5,,,3.5,,2.5
2,,4.5,,,,,,4,2,,7.5,
3,2,,,14.5,,,,1,1.5,,5.5,
4,,,6,,,,9,,,,,5.5
5,,,,8,,,6.5,,,,15,2
6,,,,,13,1,37.5,,,,11,3.5
7,5,,,,3.5,,,,,,6.5,
8,,3.5,,,0.5,,,,,10.5,13,12
9,,,,,8,8,12.5,,,7.5,,
10,,7,0.5,,10,,5,,,,,8
11,,,,7.5,15,,5.5,,,11,,
12,,,,3,2.5,,,,,,21.5,16
13,,9,,,,,,,,1.5,,
14,,,,17,,,3.5,,,5,,5
15,8.5,3,,12.5,,,1,,4,,3.5,
16,,6,,7,,,,14,,3,3.5,
17,,5,,,1,,,,,7.5,,10
18,,,,2,3.5,,,,9,,,8
19,,3.5,,5,,,,2,3,,4.5,
20,,,,7,,13.5,,,,9.5,8.5,
21,,4,,2.5,,,,,,6,11,2
22,,,,,4.5,,,,,2.5,4.5,
23,,,8,1.5,1,,3,,,,10,
24,,,,5,4.5,,17.5,1.5,7.5,,10,
25,,,2.5,5,4,2,11,1,3.5,,1.5,
26,,,2,,,,,3.5,1.5,,3.5,
27,,,3,,3,,32.5,,,,3.5,11
28,,5,4,,7,7,17,,9.5,6,0.5,
29,,5,12,,,,2.5,,,2,,5
30,,,,,18.5,,,,,10,,5
31,,,16,,,,,,,3.5,,7
1,7,,,,34,,,,,2.5,,2.5
2,7.5,1.5,,,3,,,14,,7.5,,
3,1,,8.5,,,,,,1.5,6,,
4,11.5,6,,11.5,,,1,3,,,,6
5,28,,1,4.5,,10.5,,1,,,2.5,
6,1.5,4.5,,7,,3,,,,5.5,,
7,,,,1.5,,,,,,18,,
8,2,4.5,3.5,,,5,,4,,,16,
9,,21,,,,,,2,,3,7,
10,12.5,2,,,,,,,,,1.5,
11,13,,,,,,,,,,,
12,12,,7.5,,,,9.5,,,,,
13,,,8,,,,,,3,,10,
14,,,4,,,,5,,1,,1,
15,,,,,4.5,,,,,1.5,,
